一个	یک (حرف تعریف نامعین)	yī gè
使全神贯注	جذب کردن	shǐ quán shén guàn zhù
能吸收的	جاذب؛ نشاف	néng xī shōu de
吸收剂	جاذب؛ نشاف	xī shōu jì
专心	جذب؛ انجذاب	zhuān xīn
自制	نکول کردن؛ خودداری کردن	zì zhì
戒绝	نکول کردن؛ خودداری کردن	jiè jué
回避	نکول	huí bì
抽象的	انتزاعی	chōu xiàng de
深奥的	انتزاعی	shēn ào de
抽象化	انتزاع؛ تجرید	chōu xiàng huā
心不在焉	انتزاع؛ تجرید	xīn bù zài yān
难解的	غامض؛ مغلق	nán jiě de
荒谬的	پوچ	huāng miù de
不合理的	پوچ	bù hé lǐ de
荒谬	مزخرف بودن	huāng miù
悖理	مزخرف بودن	bèi lǐ
丰富	فراوانی	fēng fù
充足	فراوانی	chōng zú
丰富的	انبوه؛ وافر	fēng fù de
充分的	انبوه؛ وافر	chōng fèn de
大量地	بفراوانی	dà liàng de
丰富地	بفراوانی	fēng fù de
滥用	سوء استفاده	làn yòng
虐待	سوء استفاده	nüè dài
恶言谩骂的	فحاش؛ سوء استعمال	è yán màn mà de
被滥用的	فحاش؛ سوء استعمال	bèi làn yòng de
深渊	مغاک؛ حضیض	shēn yuān
深邃	مغاک؛ حضیض	shēn suì
洋槐	اقاقیا	yáng huái
刺槐	اقاقیا	cì huái
学院的	تحصیلی؛ آکادمیک	xué yuàn de
学术的	تحصیلی؛ آکادمیک	xué shù de
学院	آکادمی	xué yuàn
院校	آکادمی	yuàn xiào
加速	تسریع کردن	jiā sù
促进	تسریع کردن	cù jìn
重音	لهجه	zhòng yīn
口音	لهجه	kǒu yīn
接受	پذیرفتن	jiē shòu
承认	پذیرفتن	chéng rèn
可接受的	پذیرفتنی؛ موجه	kě jiē shòu de
合意的	پذیرفتنی؛ موجه	hé yì de
接纳	پذیرش	jiē nà
通路	دسترسی؛ دستیابی	tōng lù
入口	دسترسی؛ دستیابی	rù kǒu
易接近的	قابل دسترس	yì jiē jìn de
可进入的	قابل دسترس	kě jìn rù de
到达	جلوس؛ جلوس کردن	dào dá
增加	جلوس؛ جلوس کردن	zēng jiā
附件	هم دست	fù jiàn
零件	هم دست	líng jiàn
意外事件	تصادف	yì wài shì jiàn
机遇	تصادف	jī yù
意外的	عرضی؛ تصادفی	yì wài de
偶然的	عرضی؛ تصادفی	ǒu rán de
偶然地	تصادفی	ǒu rán de
意外地	تصادفی	yì wài de
欢呼	احسنت	huān hū
称赞	احسنت	chēng zàn
使适应	جا دادن	shǐ shì yìng
调和	جا دادن	tiáo hé
伴随物	دم گیری	bàn suí wù
附加物	دم گیری	fù jiā wù
陪伴	توام کردن؛ بدرقه کردن	péi bàn
伴随	توام کردن؛ بدرقه کردن	bàn suí
共犯	دستیار؛ همداستان	gòng fàn
同谋	دستیار؛ همداستان	tóng móu
完成	انجام دادن	wán chéng
达到	انجام دادن	dá dào
成就	دستاورد	chéng jiù
一致	طیب خاطر	yī zhì
和谐	مطابقت	hé xié
相应地	بر این اساس	xiāng yìng de
因此	بر این اساس	yīn cǐ
根据	طبق، بر اساس	gēn jù
按照	طبق، بر اساس	àn zhào
账户	حساب؛ گزارش	zhàng hù
叙述	حساب؛ گزارش	xù shù
负有责任	مسئولیت‌پذیری	fù yǒu zé rèn
可说明性	مسئولیت‌پذیری	kě shuō míng xìng
负有责任的	مسئول	fù yǒu zé rèn de
可说明的	مسئول	kě shuō míng de
会计人员	حسابدار	kuài jì rén yuán
会计师	حسابدار	kuài jì shī
会计学	محاسبه؛ حسابداری	kuài jì xué
帐单	محاسبه؛ حسابداری	zhàng dān
自然增加	منتج گردیدن	zì rán zēng jiā
产生	منتج گردیدن	chǎn shēng
积聚	انباشت کردن	jī jù
堆积	انباشت کردن	duī jī
累积	انباشت	lěi jī
精确	دقت	jīng què
正确	دقت	zhèng què
正确的	دقیق؛ راستین	zhèng què de
精确的	دقیق؛ راستین	jīng què de
正确地	با دقت	zhèng què de
精确地	با دقت	jīng què de
控告	اتهام	kòng gào
起诉	اتهام	qǐ sù
归咎于	متهم کردن؛ تهمت زدن	guī jiù yú
被告	متهم	bèi gào
使习惯于	عادی کردن؛ خو دادن	shǐ xí guàn yú
幺点	کلمات میید	yāo diǎn
好手	کلمات میید	hǎo shǒu
酸	اسید؛ اسیدی	suān
尖刻	اسید؛ اسیدی	jiān kè
告知收悉	اقرار کردن	gào zhī shōu xī
答谢	اقرار؛ شهادت نامه	dá xiè
顶点	نقطه کمال	dǐng diǎn
极度	نقطه کمال	jí dù
痤疮	جوش؛ غرور جوانی	cuó chuāng
粉刺	جوش؛ غرور جوانی	fěn cì
认识	معرفت؛ آشنا	rèn shi
相识者	معرفت؛ آشنا	xiāng shí zhě
知晓的	بلد؛ شناسا	zhī xiǎo de
有知识的	بلد؛ شناسا	yǒu zhī shi de
默许	تن در دادن	mò xǔ
默然同意	تن در دادن	mò rán tóng yì
获得	اندوختن	huò dé
学到	اندوختن	xué dào
收购	اکتساب	shōu gòu
履行	تبرئه؛ برائت ذمه	lǚ xíng
无罪开释	تبرئه؛ برائت ذمه	wú zuì kāi shì
英亩	جریب	yīng mǔ
苦味的	تند؛ گس	kǔ wèi de
辛辣的	تند؛ گس	xīn là de
越过	از عرض، سراسر	yuè guò
穿过	از عرض، سراسر	chuān guò
行动	عمل کردن، نقش بازی کردن	xíng dòng
行为	عمل کردن، نقش بازی کردن	xíng wéi
活动	عمل، اقدام	huó dòng
使活动	فعال کردن	shǐ huó dòng
使激活	فعال کردن	shǐ jī huó
活化	فعال‌سازی	huó huà
激活	فعال‌سازی	jī huó
活跃的	فعال	huó yuè de
起作用的	فعال	qǐ zuò yòng de
活跃地	فعالانه	huó yuè de
积极地	فعالانه	jī jí de
激进主义分子	کنشگر	jī jìn zhǔ yì fèn zǐ
男演员	بازیگر (مرد)	nán yǎn yuán
行动者	بازیگر (مرد)	xíng dòng zhě
女演员	بازیگر (زن)	nǚ yǎn yuán
真实的	حالی	zhēn shí de
实际的	حالی	shí jì de
事实上	در واقع	shì shí shàng
竟然	در واقع	jìng rán
针刺	سوزن درمانی؛ طب سوزنی	zhēn cì
施以针灸	سوزن درمانی؛ طب سوزنی	shī yǐ zhēn jiǔ
尖锐的	حاد	jiān ruì de
敏锐的	حاد	mǐn ruì de
尖锐地	بحدت	jiān ruì de
剧烈地	بحدت	jù liè de
锐利	ذکاوت	ruì lì
敏锐	ذکاوت	mǐn ruì
广告	بلد؛ ضال	guǎng gào
地址	بلد؛ ضال	dì zhǐ
坚硬的东西	یکدنده	jiān yìng de dōng xī
非常坚硬的	یکدنده	fēi cháng jiān yìng de
改编	تطبیق دادن	gǎi biān
适应	انطباق	shì yìng
添加	اضافه کردن	tiān jiā
蝰蛇	افزیشگر؛ مار جعفری	kuí shé
猪鼻蛇	افزیشگر؛ مار جعفری	zhū bí shé
沉溺于的	معتاد؛ افیونی	chén nì yú de
无法摆脱的	معتاد؛ افیونی	wú fǎ bǎi tuō de
入迷	اعتیاد	rù mí
瘾	اعتیاد	yǐn
加法	جمع؛ علاوه	jiā fǎ
增加的人	جمع؛ علاوه	zēng jiā de rén
附加的	اضافی	fù jiā de
另外的	اضافی	lìng wài de
另外	علاوه بر این	lìng wài
此外	علاوه بر این	cǐ wài
演讲	آدرس	yǎn jiǎng
熟练的	مرد زبردست	shú liàn de
老练的	مرد زبردست	lǎo liàn de
适当的	کافی	shì dàng de
足够的	کافی	zú gòu de
足够地	به اندازه کافی	zú gòu de
适当地	به اندازه کافی	shì dàng de
依附	پایبند بودن	yī fù
粘着	پایبند بودن	nián zhāo
固执	تبعیت؛ ملازمت	gù zhí
附着	دوسیدگی؛ کشش سطحی	fù zhuó
粘着的	چسبناک؛ چسبنده	nián zhāo de
涂有粘性物质的	چسبناک؛ چسبنده	tú yǒu nián xìng wù zhì de
毗连的	مجاور	pí lián de
邻近的	مجاور	lín jìn de
形容词	صفت	xíng róng cí
从属的	صفت	cóng shǔ de
邻接的	مجاور	lín jiē de
附属物	صفت فرعی	fù shǔ wù
调整	تنظیم کردن	tiáo zhěng
使适应于	تنظیم کردن	shǐ shì yìng yú
调节	تنظیم	tiáo jié
助手	آجودان	zhù shǒu
副官	آجودان	fù guān
管理	اداره کردن	guǎn lǐ
料理	اداره کردن	liào lǐ
行政	مدیریت؛ دولت	xíng zhèng
管理的	اداری	guǎn lǐ de
行政的	اداری	xíng zhèng de
管理人	مدیر	guǎn lǐ rén
行政官	مدیر	xíng zhèng guān
可钦佩的	هژیر؛ پسندیده	kě qīn pèi de
极好的	هژیر؛ پسندیده	jí hǎo de
舰队司令	دریاسالار؛ دریابیگی	jiàn duì sī lìng
海军上将	دریاسالار؛ دریابیگی	hǎi jūn shàng jiàng
海军部	دریاسالاری	hǎi jūn bù
海事法	دریاسالاری	hǎi shì fǎ
赞赏	پسند؛ تحسین	zàn shǎng
钦佩	پسند؛ تحسین	qīn pèi
赞美	پسندیدن؛ تحسین کردن	zàn měi
钦佩者	ستینده؛ تحسینکننده	qīn pèi zhě
仰慕者	ستینده؛ تحسینکننده	yǎng mù zhě
准许进入	پذیرش	zhǔn xǔ jìn rù
入场费	پذیرش	rù chǎng fèi
被承认了的	پذیرفته	bèi chéng rèn le de
公认的	پذیرفته	gōng rèn de
公认地	معترفا	gōng rèn de
诚然	معترفا	chéng rán
警告	پند دادن	jǐng gào
劝告	پند دادن	quàn gào
警告的	عبرتانگیز	jǐng gào de
劝告的	عبرتانگیز	quàn gào de
青春期	بلوغ	qīng chūn qī
青年期	بلوغ	qīng nián qī
青春期的	نوجوان	qīng chūn qī de
青少年的	نوجوان	qīng shào nián de
采用	اتخاذ کردن؛ فرا گرفتن	cǎi yòng
正式通过	اتخاذ کردن؛ فرا گرفتن	zhèng shì tōng guò
采纳	فرزندخواندگی	cǎi nà
可崇拜的	قابل پرستش	kě chóng bài de
值得敬慕的	قابل پرستش	zhí de jìng mù de
崇拜	پرستش؛ عشق ورزی	chóng bài
爱慕	پرستش؛ عشق ورزی	ài mù
装饰	آراستن؛ پیراستن	zhuāng shì
使生色	آراستن؛ پیراستن	shǐ shēng sè
装饰物	آریش دهنده	zhuāng shì wù
修饰的	آریش دهنده	xiū shì de
漂流地	غوطه ورروی آب مج	piāo liú de
漂浮着	غوطه ورروی آب مج	piāo fú zhāo
灵巧的	زبر دست	líng qiǎo de
敏捷的	زبر دست	mǐn jié de
成人	بزرگسال	chéng rén
成虫	بزرگسال	chéng chóng
前进	پیشروی؛ راقی	qián jìn
进展	پیشروی؛ راقی	jìn zhǎn
进步	پیشروی؛ ترفیع	jìn bù
优点	مزیت	yōu diǎn
便利	مزیت	biàn lì
有利的	نافع؛ باصرفه	yǒu lì de
有益的	نافع؛ باصرفه	yǒu yì de
来到	ظهور	lái dào
来临	ظهور	lái lín
冒险	ماجراجویی	mào xiǎn
冒险家	ماجراجو؛ حادثه جو	mào xiǎn jiā
投机者	ماجراجو؛ حادثه جو	tóu jī zhě
喜欢冒险的	ماجراجو؛ پرماجرا	xǐ huan mào xiǎn de
有进取心的	ماجراجو؛ پرماجرا	yǒu jìn qǔ xīn de
敌手	هم آورد؛ هم نبرد	dí shǒu
对手	هم آورد؛ هم نبرد	duì shǒu
不利的	نامطلوب	bù lì de
敌对的	نامطلوب	dí duì de
逆境	نکبت؛ ضرا	nì jìng
不幸	نکبت؛ ضرا	bù xìng
做广告	تبلیغ کردن	zuò guǎng gào
通知	تبلیغ کردن	tōng zhī
启事	آگهی	qǐ shì
广告业	تبلیغات	guǎng gào yè
广告的	تبلیغات	guǎng gào de
忠告	نصیحت، مشاوره	zhōng gào
明智的	مقتضی؛ مصلحتآمیز	míng zhì de
给出主意	اعلامیه؛ تجویز	gěi chū zhǔ yi
顾问	رهنمون؛ ناصح	gù wèn
劝告者	رهنمون؛ ناصح	quàn gào zhě
顾问的	مشورتی؛ نصیحتی	gù wèn de
咨询的	مشورتی؛ نصیحتی	zī xún de
拥护	طرفداری	yōng hù
支持	طرفداری	zhī chí
提倡者	حمایت کردن، حامی	tí chàng zhě
拥护者	حمایت کردن، حامی	yōng hù zhě
空中的	هویی	kōng zhōng de
航空的	هویی	háng kōng de
美学的	زیبایی شناختی	měi xué de
审美的	زیبایی شناختی	shěn měi de
和蔼可亲的	خوش خلق؛ خوش برخورد	hé ǎi kě qīn de
友善的	خوش خلق؛ خوش برخورد	yǒu shàn de
事件	امر؛ مصلحت	shì jiàn
事务	امر؛ مصلحت	shì wù
影响	تأثیر گذاشتن	yǐng xiǎng
感动	تأثیر گذاشتن	gǎn dòng
假装	تصنع	jiǎ zhuāng
做作	تصنع	zuò zuo
病	محبت	bìng
深情的	مهربان؛ عاطف	shēn qíng de
充满情爱的	مهربان؛ عاطف	chōng mǎn qíng ài de
断言	آشکارا گفتن؛ بحق دانستن	duàn yán
确认	آشکارا گفتن؛ بحق دانستن	què rèn
肯定	یجاب	kěn dìng
肯定的	مبت؛ تصدیقآمیز	kěn dìng de
赞成的	مبت؛ تصدیقآمیز	zàn chéng de
折磨	مستمند؛ رنجه	zhé mó
苦恼	مصیبت؛ مشقت	kǔ nǎo
买得起	استطاعت داشتن؛ از عهده برآمدن	mǎi dé qǐ
足以	استطاعت داشتن؛ از عهده برآمدن	zú yǐ
普及型	مقرون به صرفه	pǔ jí xíng
公开侮辱	روبرو دشنام دادن	gōng kāi wǔ rǔ
轻蔑	روبرو دشنام دادن	qīng miè
阿富汗的	افغان	ā fù hàn de
阿富汗人的	افغان	ā fù hàn rén de
燃烧中的	مشتعل	rán shāo zhòng dì
火一般红的	مشتعل	huǒ yī bān hóng de
飘浮着的	در حرکت	piāo fú zhāo de
在海上的	در حرکت	zài hǎi shàng de
上述的	مذکور	shàng shù de
前述的	مذکور	qián shù de
害怕的	ترسیده	hài pà de
恐怕的	ترسیده	kǒng pà de
非洲	افریقا؛ آفریقا	fēi zhōu
非洲人	آفریقیی؛ افریقیی	fēi zhōu rén
非洲的	آفریقیی؛ افریقیی	fēi zhōu de
在之后	بعد از	zài zhī hòu
由于	بعد از	yóu yú
晚霞	پس تاب؛ پس فروزش	wǎn xiá
夕照	پس تاب؛ پس فروزش	xī zhào
来世	عقبی؛ آخرت	lái shì
下半生	عقبی؛ آخرت	xià bàn shēng
结果	پیامد	jiē guǒ
后果	پیامد	hòu guǒ
午后	بعدازظهر	wǔ hòu
下午	بعدازظهر	xià wǔ
然后	سپس؛ بعدا	rán hòu
后来	سپس؛ بعدا	hòu lái
再一次	دوباره	zài yī cì
又	دوباره	yòu
反对	علیه	fǎn duì
对着	علیه	duì zhāo
玛瑙	عقیق	mǎ nǎo
五又二分之一点铅字	عقیق	wǔ yòu èr fēn zhī yī diǎn qiān zì
年龄	سن	nián líng
老年	سن	lǎo nián
代理机构	بنگاه؛ وکالت	dài lǐ jī gòu
经销商	بنگاه؛ وکالت	jīng xiāo shāng
议程	برنامه عملیات	yì chéng
日常工作事项	برنامه عملیات	rì cháng gōng zuò shì xiàng
代理商	مامور؛ عامل	dài lǐ shāng
政府代表	مامور؛ عامل	zhèng fǔ dài biǎo
加重的	مشدد	jiā zhòng de
恶化的	مشدد	è huà de
恶化	تشدید	è huà
加重	تشدید	jiā zhòng
合计	متراکم ساختن؛ جمع شده	hé jì
总计	متراکم ساختن؛ جمع شده	zǒng jì
侵犯	پرخاشگری	qīn fàn
侵略	پرخاشگری	qīn lüè
侵略的	پرتکاپو؛ تجاوزی	qīn lüè de
挑畔的	پرتکاپو؛ تجاوزی	tiāo pàn de
侵略者	متجاوز؛ مهاجم	qīn lüè zhě
挑畔者	متجاوز؛ مهاجم	tiāo pàn zhě
惊骇的	وحشت زده	jīng hài de
吓呆的	وحشت زده	hè dāi de
灵活的	سریعالانتقال	líng huó de
敏捷	سبکبالی	mǐn jié
灵活	سبکبالی	líng huó
不安焦虑的	آشفته؛ متلاطم	bù ān jiāo lǜ de
激烈辩论的	آشفته؛ متلاطم	jī liè biàn lùn de
激动	تلاطم؛ آشفتگی	jī dòng
焦虑	تلاطم؛ آشفتگی	jiāo lǜ
煽动者	آشوبگر	shān dòng zhě
搅拌器	آشوبگر	jiǎo bàn qì
以前	پیش از این	yǐ qián
折磨人的	سوزناک؛ رنجآور	zhé mó rén de
痛苦难忍的	سوزناک؛ رنجآور	tòng kǔ nán rěn de
极大的痛苦	رنج؛ سکرات مرگ	jí dà de tòng kǔ
挣扎	رنج؛ سکرات مرگ	zhēng zhá
同意	موافق بودن	tóng yì
赞成	موافق بودن	zàn chéng
令人愉快的	سازگار؛ دلجو	lìng rén yú kuài de
同意的	سازگار؛ دلجو	tóng yì de
合约	قرار؛ توافق	hé yuē
农业的	کشاورزی	nóng yè de
耕作的	کشاورزی	gēng zuò de
农业	کشاورزی	nóng yè
农学	کشاورزی	nóng xué
疟疾	تب و لرز	nüè jí
打冷颤	تب و لرز	dá lěng zhan
啊	آه	ā
哈	آه	hā
领先的	جلو؛ روبجلو	lǐng xiān de
预先的	جلو؛ روبجلو	yù xiān de
帮助	یار؛ مدد	bāng zhù
外援	یار؛ مدد	wài yuán
爱滋病	ایدز	ài zī bìng
高级综合数据系统	ایدز	gāo jí zōng hé shù jù xì tǒng
生病的	ضعیفالبنیه	shēng bìng de
患病的	ضعیفالبنیه	huàn bìng de
目标	نشان؛ کام	mù biāo
瞄准	نشان؛ کام	miáo zhǔn
无目的的	بی هدف؛ بی مقصد	wú mù dì de
没有目标的	بی هدف؛ بی مقصد	méi yǒu mù biāo de
空气	هوا	kōng qì
旋律	هوا	xuán lǜ
航空器	طیاره؛ هواپیمیی	háng kōng qì
飞机	طیاره؛ هواپیمیی	fēi jī
航线	خط هواپیمایی	háng xiàn
航空公司	خط هواپیمایی	háng kōng gōng sī
飞机场	فرودگاه	fēi jī chǎng
航空站	فرودگاه	háng kōng zhàn
空气的	هوا مانند؛ با روح	kōng qì de
走廊	راه رو	zǒu láng
侧廊	راه رو	cè láng
亚拉巴马州	آلاباما	yà lā bā mǎ zhōu
惊恐	آژیر؛ اعلان خطر	jīng kǒng
警报	آژیر؛ اعلان خطر	jǐng bào
唉	افسوس؛ وه	āi
奥尔巴尼	آلبانی	ào ěr bā ní
尽管	اگرچه	jǐn guǎn
虽然	اگرچه	suī rán
粘贴簿	آلبوم	zhān tiē bù
唱片套	آلبوم	chàng piàn tào
清蛋白	آلبومین	qīng dàn bái
白蛋白	آلبومین	bái dàn bái
酒精	الکل	jiǔ jīng
醇	الکل	chún
酒鬼	الکلی؛ شرابخور	jiǔ guǐ
酒精中毒者	الکلی؛ شرابخور	jiǔ jīng zhòng dú zhě
酗酒	اعتیاد به الکل	xù jiǔ
酒精中毒	اعتیاد به الکل	jiǔ jīng zhòng dú
桤木	توسه؛ توسکا	qī mù
赤杨木	توسه؛ توسکا	chì yáng mù
警觉的	هشدار دادن، هوشیار	jǐng jué de
灵敏的	هشدار دادن، هوشیار	líng mǐn de
警戒	هشیاری؛ بیداری	jǐng jiè
机敏	هشیاری؛ بیداری	jī mǐn
代数学	جبر؛ جبر و مقابله	dài shù xué
外国人	بیگانه	wài guó rén
外侨	بیگانه	wài qiáo
排列	همسو کردن	pái liè
排成一行	همسو کردن	pái chéng yī xíng
队列	همسویی	duì liè
结盟	همسویی	jié méng
相似的	مشابه	xiāng sì de
同样的	مشابه	tóng yàng de
饮食的	رزقی	yǐn shí de
供养的	رزقی	gōng yǎng de
瞻养费	خرجی؛ نفقه	zhān yǎng fèi
生活费	خرجی؛ نفقه	shēng huó fèi
活着的	زنده	huó zhe de
活泼的	زنده	huó po de
所有的	همه	suǒ yǒu de
全部的	همه	quán bù de
主张	ادعا	zhǔ zhāng
宣称	ادعا کردن	xuān chēng
依其申述	ظاهراً	yī qí shēn shù
寓言	مجاز؛ کنیه	yù yán
急速地	نشاط انگیز	jí sù de
快速的	نشاط انگیز	kuài sù de
缓和	تسکین	huǎn hé
小路	کوچه؛ خیابان کوچک	xiǎo lù
巷	کوچه؛ خیابان کوچک	xiàng
联盟	اتحاد	lián méng
联合	اتحاد	lián hé
分派	اختصاص دادن	fēn pài
分配	اختصاص دادن	fēn pèi
配置	تخصیص	pèi zhì
允许	اجازه دادن	yǔn xǔ
同意给予	اجازه دادن	tóng yì jǐ yǔ
津贴	سهمیه، کمک هزینه	jīn tiē
零用钱	سهمیه، کمک هزینه	líng yòng qián
好	بسیار خوب، همه چیز درست	hǎo
顺利	بسیار خوب، همه چیز درست	shùn lì
暗指	اشارهکردن؛ تلمیح کردن	àn zhǐ
提及	اشارهکردن؛ تلمیح کردن	tí jí
冲积的	آبرفتی	chōng jī de
同盟者	متحد	tóng méng zhě
同盟国	متحد	tóng méng guó
年历	سالنما	nián lì
历书	سالنما	lì shū
杏仁	بادام؛ آلموند	xìng rén
几乎	تقریباً	jī hū
差不多	تقریباً	chà bu duō
施舍	زکات؛ ذکات	shī shě
救济金	زکات؛ ذکات	jiù jì jīn
在高处	در نوک؛ در فوق	zài gāo chù
在上	در نوک؛ در فوق	zài shǎng
孤独的	تنها	gū dú de
单独的	تنها	dān dú de
平行地	در امتداد	píng xíng de
向前	در امتداد	xiàng qián
在旁边	در کنار	zài páng biān
靠拢着	در کنار	kào lǒng zhāo
远离的	کناره گیر	yuǎn lí de
冷淡的	کناره گیر	lěng dàn de
最初	ستاره اول	zuì chū
开端	ستاره اول	kāi duān
字母	الفبا	zì mǔ
已经	قبلا	yǐ jīng
早已	قبلا	zǎo yǐ
没问题的	صحیح است	méi wèn tí de
也	همچنین	yě
并且	همچنین	bìng qiě
圣坛	مبح؛ محراب	shèng tán
祭坛	مبح؛ محراب	jì tán
圣餐桌	مذابح	shèng cān zhuō
供桌	مذابح	gōng zhuō
改变	دگرگون کردن؛ دگرگون شدن	gǎi biàn
变更	دگرش	biàn gēng
改动	دگرش	gǎi dòng
争论	مجادله	zhēng lùn
争吵	مجادله	zhēng chǎo
交替的	متناوب کردن؛ تناوب کردن	jiāo tì de
轮流的	متناوب کردن؛ تناوب کردن	lún liú de
交替地	غبا	jiāo tì de
间隔地	غبا	jiàn gé de
交互	تناوب؛ یک درمیانی	jiāo hù
轮流	تناوب؛ یک درمیانی	lún liú
两者择一	جایگزین	liǎng zhě zé yī
供替代的选择	جایگزین	gōng tì dài de xuǎn zé
非此即彼	بنوبت؛ متناوبا	fēi cǐ jí bǐ
总而言之	کلاً	zǒng ér yán zhī
明矾	زاغ؛ زاج	míng fán
校友	زاغ؛ زاج	xiào yǒu
铝	آلومینیوم	lǚ
总是	همیشه	zǒng shì
始终	همیشه	shǐ zhōng
汞合金	ملقمه	gǒng hé jīn
汞齐	ملقمه	gǒng qí
业余爱好者	آماتور	yè yú ài hào zhě
外行	آماتور	wài háng
吃惊的	متعجب؛ متحیر	chī jīng de
惊奇的	متعجب؛ متحیر	jīng qí de
惊愕	حیرت؛ بهت	jīng è
惊异	حیرت؛ بهت	jīng yì
令人惊异的	شگفت‌انگیز	lìng rén jīng yì de
大使	سفیر	dà shǐ
使节	سفیر	shǐ jié
琥珀	شاهبوی؛ کهربا	hǔ pò
不明确	ابهام	bù míng què
含糊	ابهام	hán hu
不明确的	مبهم	bù míng què de
模棱两可的	مبهم	mó léng liǎng kě de
野心	جاه طلبی	yě xīn
志向	جاه طلبی	zhì xiàng
有野心的	نامجو؛ بلند همت	yǒu yě xīn de
抱负不凡的	نامجو؛ بلند همت	bào fù bù fán de
救护车	آمبولانس	jiù hù chē
埋伏	کمین؛ کمینگاه	mái fú
伏兵	کمین؛ کمینگاه	fú bīng
阿门	آمین	ā mén
修改	اصلاح کردن	xiū gǎi
改善	اصلاح کردن	gǎi shàn
修订	اصلاحیه	xiū dìng
美洲	آمریکا	měi zhōu
美国	آمریکا	měi guó
美国人	آمریکایی	měi guó rén
美国的	آمریکایی	měi guó de
紫水晶	در بنفش؛ در کوهی بنفش	zǐ shuǐ jīng
紫蓝色宝石	در بنفش؛ در کوهی بنفش	zǐ lán sè bǎo shí
在其间	در میان	zài qí jiān
在其中	در میان	zài qí zhōng
在当中	در لابلی	zài dāng zhōng
氨水	آمونیاک	ān shuǐ
阿摩尼亚	آمونیاک	ā mó ní yà
大赦	عفو؛ عفو عمومی کردن	dà shè
赦免	عفو؛ عفو عمومی کردن	shè miǎn
在之中	در میان	zài zhī zhōng
多情的	عاشقانه	duō qíng de
