एक	یک (حرف تعریف نامعین)	ek
घृणा	عمل شنیع	ghrinaa
गिराना	سقط کردن؛ ریشه نکردن	giraanaa
रद्द करना	سقط کردن؛ ریشه نکردن	radd karanaa
निष्फल	سقط جنین	nishphal
गर्भपात	سقط جنین	garbhapaat
अधूरा	عقیم	adhuuraa
फटा पड़ना	زیاد بودن؛ وفور داشتن	phataa paranaa
बहुत होना	زیاد بودن؛ وفور داشتن	bahut honaa
के बारे में	درباره، حدوداً	ke baare men
लगभग	درباره، حدوداً	lagabhag
ऊपर	بالای، بالاتر	uupar
ऊँचा	بالای، بالاتر	uunchaa
अब्राहम	ابراهیم؛ ابراهیم پیامبر	abraaham
खरोंच	خراش؛ سیش	kharonch
रगड़	خراش؛ سیش	ragar
संक्षिप्त	مجمل؛ تلخیص شده	sankshipt
प्रचलित	خارج از کشور	prachalit
बाहरी	خارج از کشور	baaharii
असंगत	تند؛ ناگهان	asangat
अशिष्ट	تند؛ ناگهان	ashisht
अचानक	بی مقدمه	achaanak
अचानक ही	بی مقدمه	achaanak hii
फोड़ा	آبسه	phoraa
अभाव	غیبت	abhaav
अनुपस्थिति	غیبت	anupasthiti
अनुपस्थित	غایب	anupasthit
अवर्तमान	غایب	avartamaan
गैरहाजिर	غیب؛ غیابی	gairahaajir
पूर्णतया	مطلق؛ محض	puurnatayaa
पूर्ण	مطلق؛ محض	puurn
नितान्त	مطلقا؛ مطلقاً	nitaant
लेना	جذب کردن	lenaa
अपनाना	جذب کردن	apanaanaa
अवशोषी	جاذب؛ نشاف	avashoshii
अवशोषक	جاذب؛ نشاف	avashoshak
अन्यमनस्कता	جذب؛ انجذاب	anyamanaskataa
खपत	جذب؛ انجذاب	khapat
दूर रहना	نکول کردن؛ خودداری کردن	duur rahanaa
परहेज़ करना	نکول کردن؛ خودداری کردن	parahez karanaa
परहेज़	نکول	parahez
तटस्थता	نکول	tatasthataa
गूढ़	انتزاعی	guurh
निराकार	انتزاعی	niraakaar
पृथक्करण	انتزاع؛ تجرید	prithakkaran
कठिन	غامض؛ مغلق	kathin
जटिल	غامض؛ مغلق	jatil
हास्यास्पद	پوچ	haasyaaspad
जड़ता	مزخرف بودن	jarataa
असंगति	مزخرف بودن	asangati
प्रचुरता	فراوانی	prachurataa
बहुलता	فراوانی	bahulataa
बहुत	انبوه؛ وافر	bahut
प्रचुर	انبوه؛ وافر	prachur
प्रचुरतापूर्वक	بفراوانی	prachurataapuurvak
अधिक मात्रा में	بفراوانی	adhik maatraa men
अपशब्द	سوء استفاده	apashabd
गाली	سوء استفاده	gaalii
अनुचित	فحاش؛ سوء استعمال	anuchit
गलत	فحاش؛ سوء استعمال	galat
नर्क	مغاک؛ حضیض	nark
रसातल	مغاک؛ حضیض	rasaatal
बबूल	اقاقیا	babuul
कीकर	اقاقیا	kiikar
सैद्धांतिक	تحصیلی؛ آکادمیک	saiddhaantik
विद्या	تحصیلی؛ آکادمیک	vidyaa
विद्यालय	آکادمی	vidyaalay
अकादमी	آکادمی	akaadamii
तेज़ करना	تسریع کردن	tez karanaa
तेज़ होना	تسریع کردن	tez honaa
उच्चारण	لهجه	uchchaaran
स्वराघात	لهجه	svaraaghaat
स्वीकार करना	پذیرفتن	sviikaar karanaa
ठीक	پذیرفتنی؛ موجه	thiik
स्वीकृति	پذیرش	sviikriti
अनुमोदन	پذیرش	anumodan
पहुँच	دسترسی؛ دستیابی	pahunch
प्रवेश	دسترسی؛ دستیابی	pravesh
उपलब्ध	قابل دسترس	upalabdh
प्राप्य	قابل دسترس	praapy
दाखिला	جلوس؛ جلوس کردن	daakhilaa
सहायक	هم دست	sahaayak
पूरक	هم دست	puurak
संयोग	تصادف	sanyog
इत्तफ़ाक	تصادف	ittafaak
अप्रत्याशित	عرضی؛ تصادفی	apratyaashit
आकस्मिक	عرضی؛ تصادفی	aakasmik
संयोगवश	تصادفی	sanyogavash
प्रशंसा	احسنت	prashansaa
साधुवाद	احسنت	saadhuvaad
देना	جا دادن	denaa
मिलाना	جا دادن	milaanaa
संगत	دم گیری	sangat
साथ	دم گیری	saath
साथ देना	توام کردن؛ بدرقه کردن	saath denaa
साथ जाना	توام کردن؛ بدرقه کردن	saath jaanaa
सहअपराधी	دستیار؛ همداستان	sahaaparaadhii
अपराधसंगी	دستیار؛ همداستان	aparaadhasangii
पाना	انجام دادن	paanaa
पूरा करना	انجام دادن	puuraa karanaa
समझौता	طیب خاطر	samajhautaa
इच्छा	طیب خاطر	ichchhaa
सहमति	مطابقت	sahamati
अनुरूप	مطابقت	anuruup
फलस्वरूप	بر این اساس	phalasvaruup
तदनुसार	بر این اساس	tadanusaar
के अनुसार	طبق، بر اساس	ke anusaar
के अनुरूप	طبق، بر اساس	ke anuruup
खाता	حساب؛ گزارش	khaataa
विवरण	حساب؛ گزارش	vivaran
उत्तरदायित्व	مسئولیت‌پذیری	uttaradaayitv
जवाबदेही	مسئولیت‌پذیری	javaabadehii
असंख्य	مسئول	asankhy
उत्तरदायी	مسئول	uttaradaayii
लेखाकार	حسابدار	lekhaakaar
अंकक	حسابدار	ankak
लेखा	محاسبه؛ حسابداری	lekhaa
लेखाविधि	محاسبه؛ حسابداری	lekhaavidhi
मिलना	منتج گردیدن	milanaa
बढ़ना	منتج گردیدن	barhanaa
जमा करना	انباشت کردن	jamaa karanaa
संग्रहण	انباشت	sangrahan
जमाव	انباشت	jamaav
सत्यता	دقت	satyataa
शुद्धता	دقت	shuddhataa
सही	دقیق؛ راستین	sahii
सही सही	با دقت	sahii sahii
दोषारोपण	اتهام	doshaaropan
अभियोग	اتهام	abhiyog
दोष लगाना	متهم کردن؛ تهمت زدن	dosh lagaanaa
अभियोग लगाना	متهم کردن؛ تهمت زدن	abhiyog lagaanaa
दोषी	متهم	doshii
मुलज़िम	متهم	mulazim
साधना	عادی کردن؛ خو دادن	saadhanaa
आदत डालना	عادی کردن؛ خو دادن	aadat daalanaa
शानदार	کلمات میید	shaanadaar
सर्वश्रेष्ठ	کلمات میید	sarvashreshth
उपलब्धि	کار بزرگ	upalabdhi
निष्पादन	کار بزرگ	nishpaadan
कटु	اسید؛ اسیدی	katu
खट्टा	اسید؛ اسیدی	khattaa
मानना	اقرار کردن	maananaa
पावती	اقرار؛ شهادت نامه	paavatii
पराकाष्ठा	نقطه کمال	paraakaashthaa
पराकाष्ठाअ	نقطه کمال	paraakaashthaa
मुहांसा	جوش؛ غرور جوانی	muhaansaa
मुँहासा	جوش؛ غرور جوانی	munhaasaa
ज्ञान	معرفت؛ آشنا	gyaan
पहचान	معرفت؛ آشنا	pahachaan
परिचित	بلد؛ شناسا	parichit
मान लेना	تن در دادن	maan lenaa
अंगीकार करना	تن در دادن	angiikaar karanaa
लाना	اندوختن	laanaa
प्राप्त करना	اندوختن	praapt karanaa
प्राप्ति	اکتساب	praapti
संकलन	اکتساب	sankalan
रिहाई	تبرئه؛ برائت ذمه	rihaaii
दोषमुक्ति	تبرئه؛ برائت ذمه	doshamukti
एकर	جریب	ekar
एकड़	جریب	ekar
तीखा	تند؛ گس	tiikhaa
सभी ओर	از عرض، سراسر	sabhii or
उस पार से	از عرض، سراسر	us paar se
कार्य करना	عمل کردن، نقش بازی کردن	kaary karanaa
अभिनय करना	عمل کردن، نقش بازی کردن	abhinay karanaa
कार्रवाई	عمل، اقدام	kaarravaaii
क्रिया	عمل، اقدام	kriyaa
सक्रिय करना	فعال کردن	sakriy karanaa
क्रियाशील बना देना	فعال کردن	kriyaashiil banaa denaa
सक्रियण	فعال‌سازی	sakriyan
उत्प्रेरण	فعال‌سازی	utpreran
तत्काल	فعال	tatkaal
सक्रिय	فعال	sakriy
सक्रियता से	فعالانه	sakriyataa se
सक्रिय रुप से	فعالانه	sakriy rup se
सक्रियतावादी	کنشگر	sakriyataavaadii
गतिविधि	فعالیت	gatividhi
कर्ता	بازیگر (مرد)	kartaa
कलाकार	بازیگر (مرد)	kalaakaar
अभिनेत्री	بازیگر (زن)	abhinetrii
वास्तविक	حالی	vaastavik
वस्तु	در واقع	vastu
वस्तुतः	در واقع	vastuth
ऐक्यूपंक्चर	سوزن درمانی؛ طب سوزنی	aikyuupankchar
एक्यूपंचर{चिकित्सा)	سوزن درمانی؛ طب سوزنی	ekyuupanchara{chikitsaa)
अत्यधिक	حاد	atyadhik
तेज़	حاد	tez
बहुत ही	بحدت	bahut hii
तीव्रता से	بحدت	tiivrataa se
तीक्ष्णता	ذکاوت	tiikshnataa
पैनापन	ذکاوت	painaapan
विज्ञापन	بلد؛ ضال	vigyaapan
ऐडी	بلد؛ ضال	aidii
अटल	یکدنده	atal
मणि	یکدنده	mani
बदलना	تطبیق دادن	badalanaa
अनुकूल बनाना	تطبیق دادن	anukuul banaanaa
रूपांतरण	انطباق	ruupaantaran
अनुकूलन	انطباق	anukuulan
जोड़ना	اضافه کردن	joranaa
योजक	افزیشگر؛ مار جعفری	yojak
गेहुँअन	افزیشگر؛ مار جعفری	gehunan
आदी	معتاد؛ افیونی	aadii
आसक्त	معتاد؛ افیونی	aasakt
लत	اعتیاد	lat
व्यसन	اعتیاد	vyasan
जोड़	جمع؛ علاوه	jor
वृद्धि	جمع؛ علاوه	vriddhi
अतिरिक्त	اضافی	atirikt
इसके अतिरिक्त	علاوه بر این	isake atirikt
इसके अलावा	علاوه بر این	isake alaavaa
पता	آدرس	pataa
संबोधित करना	آدرس	sanbodhit karanaa
प्रवीण	مرد زبردست	praviin
पर्याप्त	کافی	paryaapt
पर्याप्त रूप से	به اندازه کافی	paryaapt ruup se
पर्याप्त रूप में	به اندازه کافی	paryaapt ruup men
चिपकना	پایبند بودن	chipakanaa
समर्थन करना	پایبند بودن	samarthan karanaa
समर्थन	تبعیت؛ ملازمت	samarthan
लगाव	تبعیت؛ ملازمت	lagaav
चिपचिपा	چسبناک؛ چسبنده	chipachipaa
आसंजक	چسبناک؛ چسبنده	aasanjak
पास	مجاور	paas
तटस्थ	مجاور	tatasth
विशेषण	صفت	visheshan
विशेषण संबंधी	صفت	visheshan sanbandhii
अव्यवहित	مجاور	avyavahit
लगा हुआ	مجاور	lagaa huaa
अनुबंध	صفت فرعی	anubandh
जमाना	تنظیم کردن	jamaanaa
ठीक करना	تنظیم کردن	thiik karanaa
सुधार	تنظیم	sudhaar
सामंजस्य	تنظیم	saamanjasy
चमरघेंघ	آجودان	chamaraghengh
करना	اداره کردن	karanaa
व्यवस्था	مدیریت؛ دولت	vyavasthaa
शासन	مدیریت؛ دولت	shaasan
प्रशासकीय	اداری	prashaasakiiy
प्रशासनीय	اداری	prashaasaniiy
शासक	مدیر	shaasak
प्रबंधक	مدیر	prabandhak
उत्कृष्ट	هژیر؛ پسندیده	utkrisht
प्रशंसनीय	هژیر؛ پسندیده	prashansaniiy
ऐडमिरल	دریاسالار؛ دریابیگی	aidamiral
ऐड्मिरल	دریاسالار؛ دریابیگی	aidmiral
नौकाधिकरण	دریاسالاری	naukaadhikaran
नौसेना विभाग	دریاسالاری	nausenaa vibhaag
आभार	پسند؛ تحسین	aabhaar
प्रशंसा करना	پسندیدن؛ تحسین کردن	prashansaa karanaa
सराहना करना	پسندیدن؛ تحسین کردن	saraahanaa karanaa
प्रेमी	ستینده؛ تحسینکننده	premii
भक्त	ستینده؛ تحسینکننده	bhakt
ठहरना	پذیرفته	thaharanaa
सच में	معترفا	sach men
स्वीकार करते हुए	معترفا	sviikaar karate hue
डाँटना	پند دادن	daantanaa
सलाह देना	پند دادن	salaah denaa
आलोचनात्मक	عبرتانگیز	aalochanaatmak
चेतावनीपूर्ण	عبرتانگیز	chetaavaniipuurn
युवावस्था	بلوغ	yuvaavasthaa
किशोरावस्था	بلوغ	kishoraavasthaa
किशोर	نوجوان	kishor
किशोर कालीन	نوجوان	kishor kaaliin
चुनना	اتخاذ کردن؛ فرا گرفتن	chunanaa
स्वीकार	فرزندخواندگی	sviikaar
स्वीकरण	فرزندخواندگی	sviikaran
प्यारा	قابل پرستش	pyaaraa
पूज्यनीय	قابل پرستش	puujyaniiy
आदर	پرستش؛ عشق ورزی	aadar
भक्ति	پرستش؛ عشق ورزی	bhakti
पूजा करना	پرستیدن	puujaa karanaa
आराधना करना	پرستیدن	aaraadhanaa karanaa
सजाना	آراستن؛ پیراستن	sajaanaa
संवारना	آراستن؛ پیراستن	sanvaaranaa
अलंकरण	زینت؛ تراز	alankaran
आभूषण	زینت؛ تراز	aabhuushan
पीछे	غوطه ورروی آب مج	piichhe
ढीला	غوطه ورروی آب مج	dhiilaa
दक्ष	زبر دست	daksh
तरूण	بزرگسال	taruun
वयस्क	بزرگسال	vayask
प्रगति	پیشروی؛ راقی	pragati
उन्नति	پیشروی؛ ترفیع	unnati
लाभ	مزیت	laabh
श्रेष्ठता	مزیت	shreshthataa
लाभप्रद	نافع؛ باصرفه	laabhaprad
लाभदायक	نافع؛ باصرفه	laabhadaayak
आगमन	ظهور	aagaman
ईसा मसीह का दुबारा आगमन	ظهور	iisaa masiih kaa dubaaraa aagaman
अभियान	ماجراجویی	abhiyaan
जोखिम	ماجراجویی	jokhim
साहसी	ماجراجو؛ حادثه جو	saahasii
जांबाज़	ماجراجو؛ حادثه جو	jaanbaaz
उत्साही	ماجراجو؛ پرماجرا	utsaahii
साहसिक	ماجراجو؛ پرماجرا	saahasik
विरोधी	هم آورد؛ هم نبرد	virodhii
द्वेषी	هم آورد؛ هم نبرد	dveshii
विपरीत	نامطلوب	vipariit
प्रतिकूल	نامطلوب	pratikuul
कठिनाई	نکبت؛ ضرا	kathinaaii
विपत्ति	نکبت؛ ضرا	vipatti
बताना	تبلیغ کردن	bataanaa
कहना	تبلیغ کردن	kahanaa
विज्ञापन की प्रणाली	تبلیغات	vigyaapan kii pranaalii
सलाह	نصیحت، مشاوره	salaah
उचित	مقتضی؛ مصلحتآمیز	uchit / uchit / yogy
उचित/योग्य	مقتضی؛ مصلحتآمیز	uchit / uchit / yogy
सूचित करना	اعلامیه؛ تجویز	suuchit karanaa
सलाहकार	رهنمون؛ ناصح	salaahakaar / salaahakaar / salaah denevaalaa
सलाहकार/सलाह देनेवाला	رهنمون؛ ناصح	salaahakaar / salaahakaar / salaah denevaalaa
परामर्शदात्री	مشورتی؛ نصیحتی	paraamarshadaatrii
सलाहकारी	مشورتی؛ نصیحتی	salaahakaarii
वकालत	طرفداری	vakaalat
पक्ष समर्थन	طرفداری	paksh samarthan
वकील	حمایت کردن، حامی	vakiil
अधिवक्ता	حمایت کردن، حامی	adhivaktaa
हवाई	هویی	havaaii
एरियल	هویی	eriyal
सुरुचिपूर्ण	زیبایی شناختی	suruchipuurn
कलात्मक	زیبایی شناختی	kalaatmak
मिलनसार	خوش خلق؛ خوش برخورد	milanasaar
भद्र	خوش خلق؛ خوش برخورد	bhadr
मामला	امر؛ مصلحت	maamalaa
प्रभावित करना	تأثیر گذاشتن	prabhaavit karanaa
दिखावा	تصنع	dikhaavaa
ढोंग	تصنع	dhong
स्नेह	محبت	sneh
स्नेही	مهربان؛ عاطف	snehii
स्नेहमय	مهربان؛ عاطف	snehamay
दृढतापूर्वक कहना	آشکارا گفتن؛ بحق دانستن	dridhataapuurvak kahanaa
पुष्टि करना	آشکارا گفتن؛ بحق دانستن	pushti karanaa
प्रतिज्ञापन	یجاب	pratigyaapan
अभिपुष्टि	یجاب	abhipushti
स्वीकारात्मक	مبت؛ تصدیقآمیز	sviikaaraatmak
अस्तिवाचक	مبت؛ تصدیقآمیز	astivaachak
संतप्त	مستمند؛ رنجه	santapt
दुःख	مصیبت؛ مشقت	duhkh
पीड़ा	مصیبت؛ مشقت	piiraa
वहनयोग्य	مقرون به صرفه	vahanayogy
वहन करने योग्य	مقرون به صرفه	vahan karane yogy
अपमान	روبرو دشنام دادن	apamaan
अनादृत	روبرو دشنام دادن	anaadrit
अफ़गानी	افغان	afagaanii
अफ़गान	افغان	afagaan
लाल	مشتعل	laal
प्रज्वलित	مشتعل	prajvalit
अस्थिर	در حرکت	asthir
उपर्युक्त	مذکور	uparyukt
डरपोक	ترسیده	darapok
कातर	ترسیده	kaatar
अफ़्रीका	افریقا؛ آفریقا	afriikaa
अफ्रीकी	آفریقیی؛ افریقیی	aphriikii
अफ्ररीकी लोग	آفریقیی؛ افریقیی	aphrariikii log
के बाद	بعد از	ke baad
की ओर	بعد از	kii or
पश्च दीप्ति	پس تاب؛ پس فروزش	pashch diipti
उत्तर सुखानुभूति	پس تاب؛ پس فروزش	uttar sukhaanubhuuti
मरणोत्तर जीवन	عقبی؛ آخرت	maranottar jiivan
मरनोपरांत जीवन	عقبی؛ آخرت	maranoparaant jiivan
परिणाम	پیامد	parinaam
अपराह्न	بعدازظهر	aparaahn
तीसरा पहर	بعدازظهر	tiisaraa pahar
तत्पश्चात	سپس؛ بعدا	tatpashchaat
बाद में	سپس؛ بعدا	baad men
पुनः	دوباره	punh
दोबारा	دوباره	dobaaraa
विरूद्व	علیه	viruudv
से अलग	علیه	se alag
अकीक	عقیق	akiik
गोमेद	عقیق	gomed
आयु	سن	aayu
उम्र	سن	umr
संस्था	بنگاه؛ وکالت	sansthaa
माध्यम	بنگاه؛ وکالت	maadhyam
कार्यसूची	برنامه عملیات	kaaryasuuchii
करने वाली कार्यवाही	برنامه عملیات	karane vaalii kaaryavaahii
कारण	مامور؛ عامل	kaaran
पदार्थ	مامور؛ عامل	padaarth
छेड़ना	مشدد	chheranaa
बिगाड़ देना	مشدد	bigaar denaa
परेशानी	تشدید	pareshaanii
क्रोध	تشدید	krodh
आघात	پرخاشگری	aaghaat
आक्रमण	پرخاشگری	aakraman
उग्र	پرتکاپو؛ تجاوزی	ugr
आक्रामक	پرتکاپو؛ تجاوزی	aakraamak
आक्रमणकारी	متجاوز؛ مهاجم	aakramanakaarii
आकारमक	متجاوز؛ مهاجم	aakaaramak
फुर्तीला	سریعالانتقال	phurtiilaa
फुर्ती	سبکبالی	phurtii
व्यथित	آشفته؛ متلاطم	vyathit
उछाला	تلاطم؛ آشفتگی	uchhaalaa
आंदोलन	تلاطم؛ آشفتگی	aandolan
आन्दोलक	آشوبگر	aandolak
आंदोलनकर्ता	آشوبگر	aandolanakartaa
पहले	پیش از این	pahale
पहले{बीता हुआ}	پیش از این	pahale{biitaa huaa}
बहुत दुखी	سوزناک؛ رنجآور	bahut dukhii
अत्यंत दुखदायी	سوزناک؛ رنجآور	atyant dukhadaayii
कष्ट	رنج؛ سکرات مرگ	kasht
व्यथा	رنج؛ سکرات مرگ	vyathaa
मेल खाना	موافق بودن	mel khaanaa
अनुकूल	سازگار؛ دلجو	anukuul
सुखद	سازگار؛ دلجو	sukhad
वचन	قرار؛ توافق	vachan
कृषि	کشاورزی	krishi
कृषिक	کشاورزی	krishik
खेतीबाङी	کشاورزی	khetiibaangii
कंपकंपी वाला बुखार	تب و لرز	kanpakanpii vaalaa bukhaar
मलेरिया-ज्वर	تب و لرز	maleriyaa-jvar
विस्मय	آه	vismay
आगे	جلو؛ روبجلو	aage
सहायता	یار؛ مدد	sahaayataa
मदद	یار؛ مدد	madad
सहायक सैनिक अधिकारी	دستیار	sahaayak sainik adhikaarii
एड्स	ایدز	eds
एड्स{बीमारी}	ایدز	edsa{biimaarii}
बीमार	ضعیفالبنیه	biimaar
अस्वस्थ	ضعیفالبنیه	asvasth
लक्ष्य	نشان؛ کام	lakshy
ध्येय	نشان؛ کام	dhyey
निरुद्देश्य	بی هدف؛ بی مقصد	niruddeshy
लक्ष्यरहित	بی هدف؛ بی مقصد	lakshyarahit
हवा	هوا	havaa
विमान या वायुयान	طیاره؛ هواپیمیی	vimaan yaa vaayuyaan
हवाई कंपनी	خط هواپیمایی	havaaii kanpanii
हवाई कम्पनी	خط هواپیمایی	havaaii kampanii
विमान	هواپیما؛ طیاره	vimaan
हवाई जहाज	هواپیما؛ طیاره	havaaii jahaaj
विमानतल	فرودگاه	vimaanatal
हवाई अड्डा	فرودگاه	havaaii addaa
लापरवाह	هوا مانند؛ با روح	laaparavaah
अव्यावहारिक	هوا مانند؛ با روح	avyaavahaarik
गलियारा	راه رو	galiyaaraa
गली	راه رو	galii
अलाबामा	آلاباما	alaabaamaa
घंटी	آژیر؛ اعلان خطر	ghantii
संकट घंटी	آژیر؛ اعلان خطر	sankat ghantii
हाय!	افسوس؛ وه	haay!
ओह{हाय}	افسوس؛ وه	oha{haay}
ऑलबनी	آلبانی	olabanii
यद्यपि	اگرچه	yadyapi
एलबम	آلبوم	elabam / elabam / sangrahapustak
एलबम/संग्रहपुस्तक	آلبوم	elabam / elabam / sangrahapustak
श्विति	آلبومین	shviti
मद्य	الکل	mady
अल्कोहल	الکل	alkohal
शराबी	الکلی؛ شرابخور	sharaabii
सुषविक	الکلی؛ شرابخور	sushavik
मदात्यय	اعتیاد به الکل	madaatyay
बीमारी की हालत	اعتیاد به الکل	biimaarii kii haalat
भिदुर	توسه؛ توسکا	bhidur
एक प्रकार का वृक्ष	توسه؛ توسکا	ek prakaar kaa vriksh
सतर्क	هشدار دادن، هوشیار	satark
जागरूक	هشدار دادن، هوشیار	jaagaruuk
सतर्कता	هشیاری؛ بیداری	satarkataa
बीजगणित	جبر؛ جبر و مقابله	biijaganit
विदेशी	بیگانه	videshii
सम्मिलित करना	همسو کردن	sammilit karanaa
पँक्ति लगाना	همسو کردن	pankti lagaanaa
सम्मिलित	همسویی	sammilit
एकत्रीकरण	همسویی	ekatriikaran
एक समान	مشابه	ek samaan
एक जैसे	مشابه	ek jaise
आहार-संबंधी	رزقی	aahaar-sanbandhii
पोषण-संबंधी	رزقی	poshan-sanbandhii
संभरण	خرجی؛ نفقه	sanbharan
दाराभृत्ति	خرجی؛ نفقه	daaraabhritti
पूरा	همه	puuraa
शिकायत	ادعا	shikaayat
आरोप	ادعا	aarop
आरोप लगाना	ادعا کردن	aarop lagaanaa
बिना सबूत के आरोप लगाना	ادعا کردن	binaa sabuut ke aarop lagaanaa
कथित रूप से	ظاهراً	kathit ruup se
नीति कथा	مجاز؛ کنیه	niiti kathaa
रूपक कथा	مجاز؛ کنیه	ruupak kathaa
द्रुत	نشاط انگیز	drut
द्रुत लय	نشاط انگیز	drut lay
राहत	تسکین	raahat
उपशम	تسکین	upasham
पगडण्डी	کوچه؛ خیابان کوچک	pagadandii
संधि	اتحاد	sandhi
बाँटना	اختصاص دادن	baantanaa
निर्धारित करना	اختصاص دادن	nirdhaarit karanaa
निर्धारण	تخصیص	nirdhaaran
आवंटन	تخصیص	aavantan
छूट	سهمیه، کمک هزینه	chhuut
भत्ता	سهمیه، کمک هزینه	bhattaa
अच्छा	بسیار خوب، همه چیز درست	achchhaa
संकेत करना	اشارهکردن؛ تلمیح کردن	sanket karanaa
इंगित करना	اشارهکردن؛ تلمیح کردن	ingit karanaa
संकेत	اشاره؛ کنیه	sanket
उल्लेख	اشاره؛ کنیه	ullekh
जलोढ़	آبرفتی	jalorh
मित्र	متحد	mitr
मित्रपक्ष	متحد	mitrapaksh
जंत्री	سالنما	jantrii
पंचांग	سالنما	panchaang
बदाम	بادام؛ آلموند	badaam
बादाम	بادام؛ آلموند	baadaam
प्रायः	تقریباً	praayh
दान	زکات؛ ذکات	daan
भीख	زکات؛ ذکات	bhiikh
अकेला	تنها	akelaa
बराबर बराबर	در امتداد	baraabar baraabar
के पास	در کنار	ke paas
के निकट	در کنار	ke nikat
अलग/दूर	کناره گیر	alag / duur / alag thalag
अलग थलग	کناره گیر	alag / duur / alag thalag
अल्फ़ा	ستاره اول	alfaa
यूनानी वर्णमाला का प्रथम अक्षर	ستاره اول	yuunaanii varnamaalaa kaa pratham akshar
वर्णक्रम	الفبا	varnakram
अभी तक	قبلا	abhii tak
पहले से	قبلا	pahale se
बेशक़	صحیح است	beshaq
भी	همچنین	bhii
और	همچنین	aur
वेदी	مبح؛ محراب	vedii
बलिवेदी	مبح؛ محراب	balivedii
बदल देना	دگرگون کردن؛ دگرگون شدن	badal denaa
बदल जाना	دگرگون کردن؛ دگرگون شدن	badal jaanaa
परिवर्तन	دگرش	parivartan
प्रत्यावर्तन	دگرش	pratyaavartan
झगड़ा	مجادله	jhagaraa
झड़प	مجادله	jharap
एकान्तर	متناوب کردن؛ تناوب کردن	ekaantar
दूसरा	متناوب کردن؛ تناوب کردن	duusaraa
बारी बारी से	غبا	baarii baarii se
एक के बाद एक	غبا	ek ke baad ek
विकल्प	جایگزین	vikalp
वैकल्पिक	جایگزین	vaikalpik
के बदले में	بنوبت؛ متناوبا	ke badale men
हालाँकि	اگرچه	haalaanki
कुल मिलाकर	کلاً	kul milaakar
पूर्णरुप से	کلاً	puurnarup se
फिटकरी	زاغ؛ زاج	phitakarii
अल्युमिनियम	آلومینیوم	alyuminiyam
ऐल्युमीनियम	آلومینیوم	ailyumiiniyam
हमेशा	همیشه	hameshaa
सदा	همیشه	sadaa
मिश्रण	ملقمه	mishran
पारदमिश्र	ملقمه	paaradamishr
इकट्ठा करना	توده کردن	ikatthaa karanaa
शौकिया	آماتور	shaukiyaa
नौसिखुआ	آماتور	nausikhuaa
आश्चर्यचकित	متعجب؛ متحیر	aashcharyachakit
अचम्भित	متعجب؛ متحیر	achambhit
चमत्कार	حیرت؛ بهت	chamatkaar
आश्चर्य	حیرت؛ بهت	aashchary
आश्चर्यजनक	شگفت‌انگیز	aashcharyajanak
दूत	سفیر	duut
राजदूत	سفیر	raajaduut
ऐंबर	شاهبوی؛ کهربا	ainbar
अम्बर	شاهبوی؛ کهربا	ambar
अस्पष्टता	ابهام	aspashtataa
श्लेष	ابهام	shlesh
अस्पष्ट	مبهم	aspasht
संदिग्ध	مبهم	sandigdh
अभिलाषा	جاه طلبی	abhilaashaa
उमङ्ग	جاه طلبی	umangg
