addiction	اعتیاد	adikshen
addition	جمع؛ علاوه	adishen
additional	اضافی	adishenel / adishnel
additionally	علاوه بر این	adishenali / adishnali
address	آدرس	adres
adept	مرد زبردست	adept
adequate	کافی	adakwat / adakweyt
adequately	به اندازه کافی	adakwatli / adakwitli
adhere	پایبند بودن	adhir
adherence	تبعیت؛ ملازمت	adhirans
adhesion	دوسیدگی؛ کشش سطحی	adhizhen
adhesive	چسبناک؛ چسبنده	adhisiv
adjacent	مجاور	ajeysant
adjective	صفت	ajiktiv
adjoining	مجاور	ajoyning
adjunct	صفت فرعی	ajangkt
adjust	تنظیم کردن	ajast
adjustment	تنظیم	ajastmant
adjutant	آجودان	ajatant
administer	اداره کردن	adminaster
administration	مدیریت؛ دولت	administreyshen
administrative	اداری	adminastreytiv
administrator	مدیر	adminastreyter
admirable	هژیر؛ پسندیده	admerabel / admrabel
admiral	دریاسالار؛ دریابیگی	admerel
admiralty	دریاسالاری	admeralti
admiration	پسند؛ تحسین	admereyshen
admire	پسندیدن؛ تحسین کردن	admair
admirer	ستینده؛ تحسینکننده	admairer
admission	پذیرش	admishen
admitted	پذیرفته	admitid
admittedly	معترفا	admitidli
admonish	پند دادن	admaanish
admonitory	عبرتانگیز	admonitori
adolescence	بلوغ	adalesans / adolesans
adolescent	نوجوان	adalesant / adolesant
adopt	اتخاذ کردن؛ فرا گرفتن	adaapt
adoption	فرزندخواندگی	adaapshen
adorable	قابل پرستش	adorabel
adoration	پرستش؛ عشق ورزی	adereyshen
adore	پرستیدن	ador
adorn	آراستن؛ پیراستن	adorn
adorning	آریش دهنده	adorning
adornment	زینت؛ تراز	adornmant
adrift	غوطه ورروی آب مج	adrift
adroit	زبر دست	adroyt
adult	بزرگسال	adalt
advance	پیشروی؛ راقی	advans
advancement	پیشروی؛ ترفیع	advansmant
advantage	مزیت	advantij
advantageous	نافع؛ باصرفه	advanteyjas
advent	ظهور	advent
adventure	ماجراجویی	advencher
adventurer	ماجراجو؛ حادثه جو	advencherer
adventurous	ماجراجو؛ پرماجرا	advencheras
adversary	هم آورد؛ هم نبرد	adverseri
adverse	نامطلوب	advers
adversity	نکبت؛ ضرا	adversiti
advertise	تبلیغ کردن	advertaiz
advertisement	آگهی	advertazmant / advertaizmant
advertising	تبلیغات	advertaizing
advice	نصیحت، مشاوره	advais
advisable	مقتضی؛ مصلحتآمیز	advaizabel
advise	اعلامیه؛ تجویز	advaiz
adviser	رهنمون؛ ناصح	advaizer
advisory	مشورتی؛ نصیحتی	advaizeri
advocacy	طرفداری	advakasi
advocate	حمایت کردن، حامی	advakat / advakeyt
aerial	هویی	eriel
aesthetic	زیبایی شناختی	esthetik
affable	خوش خلق؛ خوش برخورد	afabel
affair	امر؛ مصلحت	afer
affect	تأثیر گذاشتن	afekt
affectation	تصنع	afekteyshen
affection	محبت	afekshen
affectionate	مهربان؛ عاطف	afekshenat / afekshenit
affirm	آشکارا گفتن؛ بحق دانستن	aferm
affirmation	یجاب	afermeyshen
affirmative	مبت؛ تصدیقآمیز	afermativ
afflicted	مستمند؛ رنجه	afliktid
affliction	مصیبت؛ مشقت	aflikshen
afford	استطاعت داشتن؛ از عهده برآمدن	aford
affordable	مقرون به صرفه	afordabel
affront	روبرو دشنام دادن	afrant
afghan	افغان	afgan
aflame	مشتعل	afleym
afloat	در حرکت	aflot
aforesaid	مذکور	aforsed
afraid	ترسیده	afreyd
africa	افریقا؛ آفریقا	afrakaa / afrika
african	آفریقیی؛ افریقیی	afrakan / afrikan
after	بعد از	after
afterglow	پس تاب؛ پس فروزش	afterglo
afterlife	عقبی؛ آخرت	afterlaif
aftermath	پیامد	aftermath
afternoon	بعدازظهر	afternun
afterwards	سپس؛ بعدا	afterwerdz
again	دوباره	agen / ageyn
against	علیه	agenst / ageynst
agate	عقیق	agat
age	سن	eyj
agency	بنگاه؛ وکالت	eyjansi
agenda	برنامه عملیات	ajenda
agent	مامور؛ عامل	eyjant
aggravated	مشدد	agraveytid
aggravation	تشدید	agraveyshen
aggregate	متراکم ساختن؛ جمع شده	agragat / agragit
aggression	پرخاشگری	agreshen
aggressive	پرتکاپو؛ تجاوزی	agresiv
aggressor	متجاوز؛ مهاجم	agreser
aghast	وحشت زده	agast
agile	سریعالانتقال	ajel
agility	سبکبالی	ajiliti
agitated	آشفته؛ متلاطم	ajateytid
agitation	تلاطم؛ آشفتگی	ajateyshen
agitator	آشوبگر	ajateyter
ago	پیش از این	ago
agonizing	سوزناک؛ رنجآور	aganaizing
agony	رنج؛ سکرات مرگ	agani
agree	موافق بودن	agri
agreeable	سازگار؛ دلجو	agriabel
agreement	قرار؛ توافق	agrimant
agricultural	کشاورزی	agrakalcherel / agrikalcherel
agriculture	کشاورزی	agrikalcher
ague	تب و لرز	eygyu
ah	آه	aa
ahead	جلو؛ روبجلو	ahed
aid	یار؛ مدد	eyd
aide	دستیار	eyd
aids	ایدز	eydz
ailing	ضعیفالبنیه	eyling
aim	نشان؛ کام	eym
aimless	بی هدف؛ بی مقصد	eymlas
air	هوا	er
aircraft	طیاره؛ هواپیمیی	erkraft
airline	خط هواپیمایی	erlain
airplane	هواپیما؛ طیاره	erpleyn
airport	فرودگاه	erport
airy	هوا مانند؛ با روح	eri
aisle	راه رو	ail / aiel
alabama	آلاباما	alabama
alarm	آژیر؛ اعلان خطر	alaarm
alas	افسوس؛ وه	alas
albany	آلبانی	olbani
albeit	اگرچه	olbiit
album	آلبوم	albam
albumin	آلبومین	albyuman
alcohol	الکل	alkahaal
alcoholic	الکلی؛ شرابخور	alkahaalik
alcoholism	اعتیاد به الکل	alkaholizam
alder	توسه؛ توسکا	older
alert	هشدار دادن، هوشیار	alert
alertness	هشیاری؛ بیداری	alertnas
algebra	جبر؛ جبر و مقابله	aljabra
alien	بیگانه	eylian
align	همسو کردن	alain
alignment	همسویی	alainmant
alike	مشابه	alaik
alimentary	رزقی	alamenteri
alimony	خرجی؛ نفقه	alamoni
alive	زنده	alaiv
all	همه	ol
allegation	ادعا	alageyshen
allege	ادعا کردن	alej
allegedly	ظاهراً	alejadli
allegory	مجاز؛ کنیه	alagori
allegro	نشاط انگیز	alegro
alleviation	تسکین	alivieyshen
alley	کوچه؛ خیابان کوچک	ali
alliance	اتحاد	alaians
allocate	اختصاص دادن	alakeyt
allocation	تخصیص	alakeyshen
allow	اجازه دادن	alau
allowance	سهمیه، کمک هزینه	alauans
all right	بسیار خوب، همه چیز درست	ol rait
allude	اشارهکردن؛ تلمیح کردن	alud
allusion	اشاره؛ کنیه	aluzhen
alluvial	آبرفتی	aluviel
ally	متحد	alai
almanac	سالنما	aalmanak
almond	بادام؛ آلموند	aamand
almost	تقریباً	olmost
alms	زکات؛ ذکات	aalmz / aamz
aloft	در نوک؛ در فوق	aloft
alone	تنها	alon
along	در امتداد	along
alongside	در کنار	alongsaid
aloof	کناره گیر	aluf
alpha	ستاره اول	alfa
alphabet	الفبا	alfabet
already	قبلا	olredi / oredi
alright	صحیح است	olrait
also	همچنین	olso
altar	مبح؛ محراب	olter
altars	مذابح	olterz
alter	دگرگون کردن؛ دگرگون شدن	olter
alteration	دگرش	oltereyshen
altercation	مجادله	aalterkeyshen
alternate	متناوب کردن؛ تناوب کردن	olternat / olterneyt
alternately	غبا	olternatli
alternation	تناوب؛ یک درمیانی	olterneyshen
alternative	جایگزین	olternativ
alternatively	بنوبت؛ متناوبا	olternativli
although	اگرچه	oldho
altogether	کلاً	oltagedher
alum	زاغ؛ زاج	alam
aluminium	آلومینیوم	aluminam / alyuminam
always	همیشه	olweyz / olwiz
amalgam	ملقمه	amalgam
amass	توده کردن	amas
amateur	آماتور	amater / amacher
amazed	متعجب؛ متحیر	ameyzd
amazement	حیرت؛ بهت	ameyzmant
amazing	شگفت‌انگیز	ameyzing
ambassador	سفیر	ambasader
amber	شاهبوی؛ کهربا	amber
ambiguity	ابهام	ambigyuiti
ambiguous	مبهم	ambigyuas
ambition	جاه طلبی	ambishen
ambitious	نامجو؛ بلند همت	ambishas
ambulance	آمبولانس	ambyalans
ambush	کمین؛ کمینگاه	ambush
amen	آمین	eymen / aamen
amend	اصلاح کردن	amend
amendment	اصلاحیه	amendmant
america	آمریکا	ameraka / amerika
american	آمریکایی	amerakan / amerikan
amethyst	در بنفش؛ در کوهی بنفش	amithist
amid	در میان	amid
amidst	در لابلی	amidst
ammonia	آمونیاک	amonya
amnesty	عفو؛ عفو عمومی کردن	amnasti
among	در میان	amang
amorous	عاشقانه	ameras
amount	مقدار	amaunt
amputate	قطع اندام کردن	ampyateyt
amuse	سرگرم کردن؛ تفریح دادن	amyuz
amusement	تفریح؛ لهو	amyuzmant
amusing	سرگرم کننده	amyuzing
an	یک (حرف تعریف نامعین)	an
anaerobic	ناهوازی	anerobik
anaesthesia	داروی بیهوشی	anasthizha
anal	کونی؛ مقعدی	eynel
analogous	قابل قیاس	analagas
analogy	قیاس	analaji
analysis	حل؛ تجزیه	analasas / analisis
analyst	تحلیلگر	analist
analytical	تحلیلی	analitikel
analyze	تجزیه کردن؛ تحلیل کردن	analaiz
anarchist	آشوب طلب؛ هرج و مآرج طلب	anerkist
anarchy	بی قانونی؛ بی نظمی	anerki
anatomical	تشریحی	anataamakel / anataamikel
anatomy	استخوانبندی؛ کالبد شناسی	anatami
ancestor	جد	ansester
ancestral	نسبی؛ اجدادی	ansestrel
ancestry	اصل ونسب	ansestri
anchor	لنگر	angker
ancient	باستانی	eynchant / eynshent
and	و	and
anecdote	ضرب المثل؛ قصه کوتاه	anakdot
angel	فرشته	eynjel
angelic	ملکی؛ فرشتهی	anjelik
anger	غضب؛ خشم	angger
angle	گوشه؛ زاویه	anggel
angry	عصبانی	anggri
anguish	تاب و تب	anggwish
angular	زاویهی؛ گوشه دار	anggyaler
animal	حیوان	anamel
animate	جان دار؛ روح دادن	anamat / anameyt
animation	پویانمایی	anameyshen
animosity	کینه؛ دشمنی	anamaasiti
ankle	مچ پا	angkel
annals	اخبار سال؛ وقیع سالیانه	analz
annex	ضمیمه کردن؛ ضمیمه سازی	aneks
annexation	الحاق؛ ضم	anekseyshen
annihilate	نابود کردن؛ کن فیکون کردن	anaialeyt
anniversary	سالروز؛ سالگرد	anaverseri
announce	اعلامداشتن؛ اعلام کردن	anauns
announcement	اعلام؛ آگهی	anaunsmant / anaunsment
annoy	رنجاندن؛ آزردن	anoy
annoyance	رنجش؛ دلخوری	anoyans
annoying	رنجاننده؛ سرخوری	anoying
annual	سالانه؛ سالیانه	anyuel
annually	سالانه	anyuali
annulment	نسخ؛ ابطال	analmant
anode	آنود؛ قطب مثبت	anod
anointed	مسح شدن	anoyntid / anoynad
anonymous	ناشناس	anaanamas
another	دیگری	anadher
answer	پاسخ، پاسخ دادن	anser
answerable	پاسخ دار؛ جواب دار	anserabel
ant	مورچه	ant
antagonism	هم آوری؛ اصل مخالف	antaganizam
antagonist	هم نبرد	antaganast
antecedent	ماقبل	antesadant / antisidant
anthracite	آنتراسیت	anthrasait
anthrax	خراج؛ ینتراکس	anthraks
anti	ضد	anti / antai
antibody	پادتن	antibaadi
anticipate	پیش‌بینی کردن	antisapeyt
anticipation	پیشدستی	antisapeyshen
antigen	پادزا؛ پادگن	antajan
antique	عتیقه؛ عتیق	antik
antiquity	کهنگی؛ دیرینگی	antikwiti
antiseptic	گندزدا؛ ضدعفونی	antaseptik
antitoxin	زهردارو؛ پادزهرابه	antitaaksan
anus	نشین؛ مقعد	eynas
anxiety	اضطراب	angzaiati
anxious	مشتاق؛ اندیشناک	angkshas / angshas
anxiously	مشتاقانه	angkshasli
any	هر؛ هر، هیچ	eni
anybody	هر کسی	enibadi
anyhow	درهرصورت؛ بهرشکل	enihau
any more	دیگر	eni mor
anyone	هر کسی	eniwan
anything	هر چیزی	enithing
anyway	به هر حال	eniwey
anywhere	هر جا	eniwer / enihwer
aorta	آورتا	eyorta
apace	باسرعت زیاد	apeys
apart	جدا؛ مجزا	apaart
apartment	آپارتمان	apaartmant
apathetic	بی احساس	apathetik
ape	میمون؛ بوزینه	eyp
apex	ذروه	eypeks
apologize	معذرت خواستن؛ پوزش خواستن	apaalajaiz
apology	عذرخواهی	apaalaji
apoplexy	سکته ناقص	apapleksi
apostle	فرستاده؛ حواری	apaasel
app	اپلیکیشن	ap
apparatus	دستگاه	aperatas
apparent	پیدا؛ نمودار	aperant
apparently	ظاهرا؛ نظرا	aperantli
appeal	فرجام؛ جذابیت	apil
appealing	جذاب	apiling
appear	ظاهر شدن	apir
appearance	ظاهر	apirans
appease	دلنوازی کردن؛ دلجوئی کردن	apiz
appeasing	دلجویانه	apizing
appellation	وجه تسمیه	apaleyshen
appendages	مضافات	apendijiz
appendicitis	آپاندیس	apendisaitiz
appendix	ضمیمه؛ آپاندیس	apendiks
appetite	اشتها	apatait
appetizing	خوش خوراک؛ اشتها آور	apitaizing
applaud	تشویق کردن	aplod
applause	تمجید؛ هلهله	aploz
apple	سیب	apel
appliance	اسباب	aplaians
applicable	قابل اجرا	aplakabel
applicant	متقاضی	aplikant
application	استعمال؛ درخواست	aplakeyshen
apply	درخواست کردن، اعمال کردن	aplai
appoint	منصوب کردن	apoynt
appointment	تعیین؛ انتصاب	apoyntmant
appraisal	تقویم؛ تخمین	apreyzel
appraise	تعیین قیمت کردن	apreyz
appreciable	قابل تقدیر؛ قابل ارزیابی	aprishabel
appreciate	تقدیر کردن؛ تشکر کردن	aprishieyt
appreciation	قدردانی	aprishieyshen
apprehension	تشویش خاطر	aprihenshen
apprehensive	مستشعر؛ درک کننده	aprihensiv
apprentice	شاگرد	aprentas / aprentis
apprenticeship	شاگردی؛ تلمذ	aprentasship
approach	مراجعهکردن؛ نزدیک شدن	aproch
appropriate	مناسب؛ مقتضی	apropriat / aproprieyt
appropriately	به طور مناسب	apropriitli
approval	موافقت؛ امضاء	apruvel
approve	امضاکردن؛ پسند کردن	apruv
approximate	تقریبی؛ تخمینی	apraaksamat / apraaksameyt
approximately	تقریبا؛ تخمیناً	apraaksamatli
approximation	تقریب	apraaksameyshen
april	آوریل	eyprel
apron	خرند؛ پیش بند	eypran
aptitude	ذوق؛ گنجیش	aptatud
aquarium	آکواریوم؛ آبزیگاه	akweriam
arab	عربی؛ عرب	arab / eyrab
arabic	عربی؛ زبان عربی	arabik / erabik
arable	مزروعی؛ قابل زرع	arabel
arabs	اعراب	arabz / eyrabz
arbitrarily	به‌طور قراردادی	aarbitrerali
arbitrary	خودسرانه	aarbatreri / aarbitreri
arbitration	داوری؛ حکمیت	aarbitreyshen
arc	کمان	aark
arcade	تیمچه	aarkeyd
arch	طاق؛ تاق	aarch
archaeological	باستانشناسی	aarkialaajikel
archbishop	سر اسقف؛ اسقف بزرگ	aarchbishap
arched	طاقدار	aarcht
archipelago	مجمع الجزیر؛ دریی پر جزیره	aarkapelago / aarchapaleygo
architect	معمار	aarkatekt
architectural	معماری	aarkatekcherel
architecture	معماری	aarkatekcher
archive	آرشیو	aarkaiv
archway	گذر سرپوشیده؛ دروازه طاقدار	aarchwey
arctic	شمالی؛ قطبی	aarktik / aartik
arduous	پر زحمت؛ صعب الصعود	aarjuas
area	منطقه	eria
arena	عرصه	erina
arguably	مسلماً	aargyuabli
argue	بحث کردن	aargyu
argument	بحث	aargyamant
argumentative	جدلی؛ استدلالی	aargyamentativ
arid	خشک؛ لم یزرع	arad / erad
arise	بروز کردن	eraiz
aristocracy	نجبا؛ اشرافیت	erastaakrasi
aristocrat	بزرگزاده؛ اشرافزاده	eristakrat
aristocratic	اشرافی؛ اعیانی	eristakratik
arkansas	آرکانزاس	aarkansaa
arm	بازو؛ مسلح کردن	aarm
armaments	تسلیحات	aarmamants
armchair	صندلی دسته دار	aarmcher
armenian	ارمنی؛ زبان ارمنی	aarminian
armenians	ارامنه	aarminianz
arming	تسلیح	aarming
armistice	متارکه جنگ؛ صلح موقت	aarmastas
armor	جوشن	aarmer
armory	زراد خانه	aarmeri
armpit	بغل؛ زیر بغل	aarmpit
army	ارتش	aarmi
aromatic	خوشبو؛ گیاه خوشبو	eramatik
around	اطراف، حدود	eraund / eraun
arousing	تحریص؛ شهوت آمیز	erauzing
arrange	ترتیب دادن	ereynj
arrangement	ترتیب	ereynjmant
array	آرایه	erey
arrears	پس افت	erirz
arrest	جلب؛ توقیف	erest
arrival	مقدم؛ وصول	eraivel
arrive	رسیدن	eraiv
arrogance	تکبر؛ نخوت	eragans
arrogant	خودکامه؛ مغرور	eragant
arrow	پیکان	aro / ero
arsenal	زرادخانه؛ مهمات جنگی	aarsanel
art	هنر	aart
arterial	شریانی	aartiriel
artery	سرخرگ؛ شریان	aarteri
artful	نیرنگ باز	aartfel
article	مقاله	aartakel / aartikel
articular	مفصلی	aartikyaler
articulate	بیان کردن	aartikyaleyt / aartikyalat
articulation	مفصل بندی؛ طرز گفتار	aartikyaleyshen
artificial	مصنوعی؛ ساختگی	aartafishel
artillery	توپ؛ توپخانه	aartileri
artist	هنرمند	aartast / aartist
artistic	هنری؛ هنرمندانه	aartistik
artwork	اثر هنری	aartwerk
as	به عنوان، همانطور که؛ همانطور که	az / ez
ascend	فرازیدن؛ فرازروی	asend
ascertain	محقق نمودن؛ محقق دانستن	aserteyn
ascetic	زاهد؛ زاهدانه	asetik
ascribed	منسوب	askraibd
ash	خاکستر	ash
ashamed	شرمنده؛ خجل	asheymd
ashen	خاکستری؛ شبیه خاکستر	ashen
ashore	بکنار؛ درساحل	ashor
asia	آسیا	eyzha
aside	کنار	asaid
ask	پرسیدن، درخواست کردن	ask
asleep	خوابیده	aslip
asparagus	مارچوبه؛ شودی	asperagas
aspect	منظر؛ منظره	aspekt
aspersion	هتک	asperzhen
aspiration	آرزو	aspereyshen
aspire	آرزو کردن	aspair
aspirin	آسپیرین	asprin
ass	الاغ؛ ماتحت	as
assailant	ضارب	aseylant
assassin	قاتل؛ آدمکش	asasan
assassination	ترور	asasaneyshen
assault	حمله	asolt
assemble	جمع‌آوری کردن	asembel
assembly	مونتاژ، مجلس	asembli
assert	ادعا کردن	asert
assertion	ادعا	asershen
assessment	ارزیابی؛ اظهارنظر	asesmant
assessor	ارزیاب	aseser
asset	دارایی	aset
assiduous	مستدام؛ عاکف	asidwas
assign	اختصاص دادن	asain
assignment	تکلیف؛ گمارش	asainmant
assimilate	تلفیق کردن؛ سازش کردن	asimaleyt
assist	یاری کردن؛ اعانه کردن	asist
assistance	کمک	asistans
assistant	دستیار	asistant
associate	نزدیکی کردن؛ اختلاط کردن	asosiat / asosieyt
association	معاشرت؛ اشتراک	asosieyshen / asoshieyshen
assume	پنداشتن؛ فرض کردن	asum
assumption	فرض	asampshen
assurance	اطمینان	ashurans
assure	اطمینان دادن	ashur
asterisk	ستاره	asterisk
astonish	گیج کردن؛ مبهوت کردن	astaanish
astonishing	حیرت‌آور	astaanishing
astonishment	گیجی؛ خیرگی	astaanishmant
astrakhan	حاجی ترخان	astrakaan
astray	گمراه؛ بی راه	astrey
astronomy	نجوم؛ ستاره شناسی	astraanami
astute	تیز هوش	astut
asylum	پناهندگی	asailam
at	در	at
atheist	ناخدا؛ زندیق	eythiast
atheistic	ناخدا	eythiistik
athlete	ورزشکار	athlit
athletic	ورزشی؛ پهلوانی	athletik
atlantic	آتلانتیک	atlantik / atlanik
atom	اتم؛ آتم	atam
atomic	اتمی	ataamik
atone	کفاره دادن؛ تقاص پس دادن	aton
atonement	دیه	atonmant
atrocities	جنیات	atraasatiz
atrocity	ظلم	atraasiti
attach	ضمیمه کردن؛ الصاق کردن	atach
attachment	پیوست	atachmant
attack	حمله، حمله کردن	atak
attain	دست یافتن	ateyn
attainment	نیل؛ حصول	ateynmant
attempt	سعی؛ کوشش	atempt
attend	شرکت کردن	atend
attendance	حضور	atendans
attendant	ملازم؛ ملتزم	atendant
attention	توجه	atenshen
attentive	متوجه؛ دربند	atentiv
attire	لباس پوشاندن	ataier
attitude	طرز برخورد	atatud
attorney	وکیل	aterni
attract	مجذوب کردن؛ مجذوب ساختن	atrakt
attraction	جلب؛ جذب	atrakshen
attractive	جذاب	atraktiv
attribute	نسبت دادن، صفت	atrabyut / atribyut
auction	حراج	aakshen / okshen
audacious	گستاخ؛ جسور	aadeyshas
audacity	بی باکی	aadasiti
audible	شنیدنی	aadabel
audience	حضار	aadians / odians
audio	شنیداری	aadio
audit	حسابرسی	odit
auditor	ممیز؛ مستمع	oditer
auditory	سمعی؛ سماعی	oditori
august	آگوست	aagast / ogast
aunt	عمه، خاله	ant / ont
auspices	توجهات	ospisiz
auspicious	خجسته؛ فرخنده	aaspishas
austere	ریاضت کش	ostir
austerity	ریاضت	osteriti
australia	استرالیا	ostreylya
australian	استرالیائی	ostreylyan
austria	اطریش؛ اتریش	ostria
austrian	اتریشی؛ اطریشی	ostrian
authentic	معتبر	athentik / othentik
authenticity	اصالت؛ سندیت	othantisiti
author	نویسنده	other
authoritative	حاکمانه	athorateytiv
authority	اجازه؛ اختیار	athoriti
authorization	تنفیذ	otherazeyshen
authorize	مجوز دادن	otheraiz
auto	خودرو	oto
autobiography	خودزیستنامه	otabaiaagrafi
autocracy	استبداد	otaakrasi
autocrat	سلطان مطلق؛ سلطان مستبد	otakrat
autocratic	استبدادی	otakratik
automatic	خودکار	otamatik / otomatik
automatically	به صورت خودکار	otamatikli / otomatikli
automobile	اتومبیل؛ خودرو	otamobil
autonomous	خودگردان؛ خود مختار	otaanamas
autonomy	خودمختاری	otaanami / ataanami
autumn	پاییز	otam
autumnal	خزانی؛ خریفی	otamnel
avail	بکار خوردن؛ سودمند بودن	aveyl
availability	در دسترس بودن	aveylabiliti
available	در دسترس	aveylabel
avalanche	بهمن	avalanch
avenge	دادگیری کردن	avenj
average	متوسط	averij / avraj
aversion	نفرت؛ بدآمدن	averzhen
aviation	هواپیمائی؛ هوانوردی	eyvieyshen
avoid	اجتناب کردن	avoyd
avoidance	اجتناب؛ حذر	avoydans
avowed	اعتراف شده	avaud
await	در انتظار بودن	aweyt
awake	بیدار؛ بیداری کشیدن	aweyk
award	جایزه	aword
aware	آگاه؛ مطلع	awer
awareness	آگاهی	awernas
away	دور	awey
awe	هیبت؛ هیبت دادن	aa / o
awful	وحشتناک	aafel / ofel
awhile	مدتی؛ یک چندی	awail
awkward	نامناسب	aakwerd / okwerd
awkwardness	ناشیگری	okwerdnas
awry	چپ چپ؛ به‌طور میل	erai
ax	تیشه؛ تبر	aks
axe	تیشه؛ تیشه زدن	aks
axis	آسه؛ محور چرخ	aksas
azure	مینا؛ لاجورد	azher
